"Date","Close","Volume","Change","Ch(%)","Value(cr)","Trade","Open","High","Low"
"1717437600000","38.8","3314496","-1.2000000000000028","-3.000000000000007","13.2195","3464","40.5","41.2","38.8"
"1717351200000","40","3514293","1.5","3.896103896103896","13.5431","3219","38.3","41","37.4"
"1717264800000","38.5","2569409","-1.1000000000000014","-2.7777777777777812","10.102","2454","39.6","41.3","38.5"
"1717005600000","39.6","2139650","-1.1999999999999957","-2.9411764705882253","8.5064","2026","39.6","41.2","39.6"
"1716919200000","40.8","960577","-1.2000000000000028","-2.857142857142864","3.9198","509","41.1","41.9","40.8"
"1716832800000","42","4445559","-1.2000000000000028","-2.7777777777777843","19.2001","3879","42","45.2","42"
"1716746400000","43.2","870368","-1.2999999999999972","-2.921348314606735","3.7612","408","43.2","43.9","43.2"
"1716660000000","44.5","6709","-1.2999999999999972","-2.8384279475982472","0.0299","23","44.5","44.5","44.5"
"1716400800000","45.8","41113","-1.4000000000000057","-2.9661016949152663","0.1883","100","45.8","45.8","45.8"
"1716228000000","47.2","2547076","-1.3999999999999986","-2.880658436213989","12.313500000000001","2065","48.7","49.7","47.2"
"1716141600000","48.6","3667481","-1.5","-2.9940119760479043","17.8825","2539","49.1","49.8","48.6"
"1716055200000","50.1","3037785","-1.5","-2.9069767441860463","15.4552","2793","52","52.5","50.1"
"1715796000000","51.6","6169419","3.200000000000003","6.61157024793389","30.826100000000004","5324","47.5","52.2","47.5"
"1715709600000","48.4","3715268","-1.3999999999999986","-2.811244979919676","18.072300000000002","2903","49.1","49.6","48.4"
"1715623200000","49.8","5578958","-1.5","-2.9239766081871346","28.1807","4111","52","52","49.8"
"1715536800000","51.3","7514444","2.5","5.122950819672131","38.8335","5691","49.9","53.5","49.6"
"1715450400000","48.8","6469106","4.399999999999999","9.909909909909906","30.8873","2739","44.8","48.8","44"
"1715191200000","44.4","5542559","-0.20000000000000284","-0.44843049327354895","25.2669","4231","44.8","46.7","43.5"
"1715104800000","44.6","6106898","4","9.852216748768472","26.3384","3527","40.8","44.6","40.5"
"1715018400000","40.6","2395694","-1","-2.4038461538461537","9.9404","1941","41.8","42.7","40.4"
